"Source:","C:\Users\Daniel bilodeau\OneDrive\Documents\Projects\Fume_extractor\Ki_PCB\Ki_PCB.kicad_sch"
"Date:","2022-11-24 8:00:17 PM"
"Tool:","Eeschema (6.0.5)"
"Generator:","D:\Software\kicad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey link","Part number","Spice_Model","Spice_Netlist_Enabled","Spice_Primitive"
"","","U7","TL5001CDR","Regulator_Switching:TL5001CDR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/tl5001.pdf?ts=1668882726896&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTL5001%253Futm_source%253Dgoogle%2526utm_medium%253Dcpc%2526utm_campaign%253Dapp-null-null-GPN_EN-cpc-pf-google-wwe%2526utm_content%253DTL5001%2526ds_k%253DTL5001%2526DCM%253Dyes%2526gclid%253DEAIaIQobChMI15qGr-a6-wIV4ZJbCh1-CgFZEAMYASAAEgK5J_D_BwE%2526gclsrc%253Daw.ds","https://www.digikey.ca/en/products/detail/texas-instruments/TL5001CDR/276937","LT5001CDR","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey link","Part number","Spice_Model","Spice_Netlist_Enabled","Spice_Primitive"
"1","2","C1, C16","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21B105KAFNNNE_Spec.pdf","https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL21B105KAFNNNE/3886724","CL21B105KAFNNNE","","",""
"2","1","C2","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21A475KAQNNNG_DS.pdf","https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL21A475KAQNNNG/3894439","CL21A475KAQNNNG","","",""
"3","1","C3","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://datasheets.kyocera-avx.com/X7RDielectric.pdf","https://www.digikey.ca/en/products/detail/kyocera-avx/08055C102KAT2A/563481","08055C102KAT2A","","",""
"4","10","C4, C5, C7, C8, C9, C10, C11, C13, C14, C15","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.seielect.com/Catalog/SEI-CML.PDF","https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CML0805Y5V104ZT50V/10660028","CML0805Y5V104ZT50V","","",""
"5","1","C6","10uF","Device:C_Polarized_Small_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR61H106KE43-01A.pdf","https://www.digikey.ca/en/products/detail/murata-electronics/GRM21BR61H106KE43K/15191954","GRM21BR61H106KE43K","","",""
"6","1","C12","330nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.we-online.com/katalog/datasheet/885012207101.pdf","https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/885012207101/5453531","885012207101","","",""
"7","1","C17","15nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.we-online.com/katalog/datasheet/885012207123.pdf","https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/885012207123/9346001","885012207123","","",""
"8","1","C18","120pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","",""
"9","1","C19","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","",""
"10","1","C20","180uF","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","","","","",""
"11","1","D1","Green","Device:LED","LED_THT:LED_D3.0mm","~","","","","",""
"12","2","D3, D4","RB520S30T5G","Diode:1N4001","Diode_SMD:D_SOD-523","https://www.onsemi.com/pdf/datasheet/rb520s30t1-d.pdf","https://www.digikey.ca/en/products/detail/onsemi/RB520S30T5G/2797277","RB520S30T5G","RB520S30T5G","Y","D"
"13","1","D5","Yellow","LED:CQY99","LED_THT:LED_D3.0mm","https://www.prtice.info/IMG/pdf/CQY99.pdf","","","","",""
"14","1","D6","CRS05(TE85L,Q,M)","Device:D_Schottky","Diode_SMD:CRS05(TE85L,Q,M)","https://toshiba.semicon-storage.com/info/CRS05_datasheet_en_20190401.pdf?did=3163&prodName=CRS05","https://www.digikey.ca/en/products/detail/toshiba-semiconductor-and-storage/CRS05-TE85L-Q-M/871558","CRS05(TE85L,Q,M)","","",""
"15","3","J1, J3, J6","0039301020","Connector_Generic:Conn_01x02","Connector_Molex:Molex_Mini-Fit_Jr_5569-02A2_2x01_P4.20mm_Horizontal","https://www.molex.com/pdm_docs/ps/PS-5556-001.pdf","https://www.digikey.ca/en/products/detail/molex/0039301020/561078?s=N4IgTCBcDaIMwE44AYCMyzJAXQL5A","0039301020","","",""
"16","1","J2","B3B-XH-AM(LF)(SN)","Connector_Generic:Conn_01x03","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf","https://www.digikey.ca/en/products/detail/jst-sales-america-inc/B3B-XH-AM-LF-SN/1651029","B3B-XH-AM(LF)(SN)","","",""
"17","1","J4","0470531000","Connector_Generic:Conn_01x04","Connector:FanPinHeader_1x04_P2.54mm_Vertical","https://www.molex.com/pdm_docs/sd/470531000_sd.pdf","https://www.digikey.ca/en/products/detail/molex/0470531000/2421261?s=N4IgTCBcDaIAwBYDscCsBmAjHHIC6AvkA","","","",""
"18","1","J5","4pin JST","Connector_Generic:Conn_01x04","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","~","","","","",""
"19","1","L1","100uH","pspice:INDUCTOR","Inductor_SMD:74404063101","https://www.we-online.com/katalog/datasheet/74404063101.pdf","https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/74404063101/4865679?s=N4IgTCBcDaIOwBYEAYUDYDMBGZWQF0BfIA","74404063101","","",""
"20","1","Q1","SI2301-TP","Transistor_FET:SI2301-TP","Package_TO_SOT_SMD:SOT-323_SC-70","https://www.mccsemi.com/pdf/Products/SI2301(SOT-23).pdf","https://www.digikey.ca/en/products/detail/micro-commercial-co/SI2301-TP/1793242","SI2301-TP","","",""
"21","6","Q2, Q3, Q4, Q5, Q6, Q7","SI2102A-TP","Transistor_FET:SI2102A-TP","Package_TO_SOT_SMD:SOT-323_SC-70","https://www.mccsemi.com/pdf/Products/SI2102A(SOT-323).pdf","https://www.digikey.ca/en/products/detail/micro-commercial-co/SI2102A-TP/15277502?s=N4IgTCBcDaIMoEkwEYAMYCCBaAKgBRAF0BfIA","SI2102A-TP","","",""
"22","1","R1","510","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
